Package,Package Version,arn
attrs,23.1.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-attrs:4
graphene,2.1.8,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-graphene:2
aws-requests-auth,0.4.3,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-aws-requests-auth:14
aiobotocore,2.5.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-aiobotocore:17
textdistance,4.5.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-textdistance:3
redshift-connector,2.0.910,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-redshift-connector:17
rdklib,0.3.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-rdklib:17
paramiko,2.7.2,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-paramiko:1
datadog,0.45.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-datadog:14
aws-psycopg2,1.3.8,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-aws-psycopg2:1
PyMySQL,1.0.3,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-PyMySQL:1
ansible,2.9.13,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-ansible:19
tablib,3.4.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-tablib:3
pytz,2023.3,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-pytz:6
lambda-cache,0.8.1,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-lambda-cache:1
tinydb,4.7.1,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-tinydb:2
reportlab,3.6.13,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-reportlab:9
pycryptodome,3.18.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-pycryptodome:5
cryptography,41.0.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-cryptography:12
cloudsplaining,0.5.1,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-cloudsplaining:18
envelopes,0.4,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-envelopes:1
pyqldb,3.2.3,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-pyqldb:18
gspread,5.9.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-gspread:18
SQLAlchemy,2.0.15,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-SQLAlchemy:14
loguru,0.7.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-loguru:1
xarray,2023.1.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-p38-xarray:16
tweepy,3.9.0,arn:aws:lambda:ap-southeast-1:770693421928:layer:Klayers-python38-tweepy:1
